Dist,Type,SubType,Xeq,Yeq,Xgal,Ygal,title,source,date,link,headline,img
"LU","Galaxy","Elliptical",-190.709059,2.6862401,-297.751867,65.471440,"Hot Galactic Arms Point To Vicious Cycle","NGC 4636",2001-12-19,"http://chandra.harvard.edu/photo/2001/0144/","Chandra's image of the elliptical NGC 4636 shows spectacular symmetric arms, or arcs, of hot gas.","http://chandra.harvard.edu/photo/2001/0144/0144_xray_420.jpg"
"LU","Galaxy","Elliptical",-201.366196,-43.0231952,-309.516161,19.413115,"A Nearby Elliptical Galaxy With An Active Galactic Nucleus","Centaurus A",2001-08-06,"http://chandra.harvard.edu/photo/2001/0157blue/","A nearby massive elliptical galaxy with an active galactic nucleus in the constellation Centaurus.","http://chandra.harvard.edu/photo/2001/0157blue/0157blue_xray_420.jpg"
"EU","Galaxy","Elliptical",-209.963226,62.5170858,-109.943543,52.851807,"Chandra Probes Nature of Dark Matter","EMSS 1358+6245",2001-09-06,"http://chandra.harvard.edu/photo/2001/0164/","A cluster of galaxies 4 billion light years distant in the constellation Draco.","http://chandra.harvard.edu/photo/2001/0164/0164_xray_420.jpg"
"LU","Galaxy","Spiral",-213.288060,-65.340514,-311.324229,-3.808854,"Chandra Examines Black Holes Large and Small in Nearby Galaxy","Circinus Galaxy",2001-05-14,"http://chandra.harvard.edu/photo/2001/0167/","Chandra's observations of a large, nearby galaxy in the constellation of Circinus.","http://chandra.harvard.edu/photo/2001/0167/0167_xray_420.jpg"
"MW","Star","Spiral",-225.945800,47.6542,-80.370620,57.066712,"The Terrible Twos: What Might Happen If Our Sun Had A Twin","44i Bootis",2001-11-21,"http://chandra.harvard.edu/photo/2001/0176/","This artist's conception depicts the two closely orbiting stars of 44i Bootis.","http://chandra.harvard.edu/photo/2001/0176/0176_illustration_250.jpg"
"MW","Galaxy","Spiral",-266.415942,-29.0073597,-359.944228,-0.045262,"Chandra Catches Milky Way Monster Snacking","Sagittarius A*: Sgr A*: Galactic Center",2001-09-05,"http://chandra.harvard.edu/photo/2001/0204flare/","A compact radio source in the center of our Milky Way Galaxy thought to be a supermassive black hole.","http://chandra.harvard.edu/photo/2001/0204flare/0204flare_xray_420.jpg"
"EU","Cosmology","Spiral",-223.050917,43.0168431,-73.875461,60.871001,"Gamma-ray Bursts May Originate in Star-Forming Regions","GRB 010222",2001-04-04,"http://chandra.harvard.edu/photo/2001/1006/","Data from this Chandra image suggest that gamma-ray bursts originate in regions of star formation.","http://chandra.harvard.edu/photo/2001/1006/1006_xray_420.jpg"
"MW","Star","Spiral",-168.783749,-61.2613669,-291.619800,-0.522727,"Chandra Sees Multitude of New Stars in Nearby Star-Forming Region","NGC 3603",2001-01-22,"http://chandra.harvard.edu/photo/2001/1123/","A bustling region of star birth in the Carina spiral arm of the Milky Way galaxy.","http://chandra.harvard.edu/photo/2001/1123/1123_xray_420.jpg"
"LU","Galaxy","Spiral",-190.543898,32.5429563,-142.717790,84.225255,"Chandra Detects Halo Of Hot Gas Around Milky Way-Like Galaxy","NGC 4631",2001-07-19,"http://chandra.harvard.edu/photo/2001/1138/","A spiral galaxy about 25 million light years from Earth.","http://chandra.harvard.edu/photo/2001/1138/1138_xray_opt_420.jpg"
"MW","Star","NS",-228.445566,-59.1222431,-320.311943,-1.140660,"Chandra Examines A Quadrillion-volt Pulsar","B1509-58 in SNR G320.4-1.2",2001-09-06,"http://chandra.harvard.edu/photo/2001/1175/","A neutron star located about 19,000 light years away in the constellation Circinus.","http://chandra.harvard.edu/photo/2001/1175/1175_comp_full_420.jpg"
